Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C1000,C1000-24T-4G-L,Q2 FY2011,JAN FY2011,40,2020-01-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q3 FY2011,FEB FY2011,135,2020-02-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q3 FY2011,MAR FY2011,266,2020-03-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q3 FY2011,APR FY2011,3985,2020-04-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q4 FY2011,MAY FY2011,238,2020-05-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q4 FY2011,JUN FY2011,1646,2020-06-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q4 FY2011,JUL FY2011,1620,2020-07-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q2 FY2011,DEC FY2011,0,2020-12-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q2 FY2012,JAN FY2012,6444,2021-01-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q3 FY2012,FEB FY2012,2776,2021-02-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q3 FY2012,MAR FY2012,4647,2021-03-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q3 FY2012,APR FY2012,4833,2021-04-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q4 FY2012,MAY FY2012,5834,2021-05-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q4 FY2012,JUN FY2012,6245,2021-06-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q4 FY2012,JUL FY2012,8174,2021-07-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q1 FY2012,AUG FY2012,636,2021-08-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q1 FY2012,SEP FY2012,2037,2021-09-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q1 FY2012,OCT FY2012,2289,2021-10-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q2 FY2012,NOV FY2012,1172,2021-11-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q2 FY2012,DEC FY2012,2691,2021-12-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q2 FY2022,JAN FY2022,9208,2022-01-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q1 FY2022,AUG FY2022,6358,2022-08-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q1 FY2022,SEP FY2022,10014,2022-09-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q1 FY2022,OCT FY2022,10809,2022-10-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q2 FY2022,NOV FY2022,5966,2022-11-01
UOPBLRBU,C1000,C1000-24T-4G-L,Q2 FY2022,DEC FY2022,7833,2022-12-01
